Start  	End
350	370.5
370.5	386.5
386.5	402.5
402.5	415.5
415.5	426.5
426.5	438.5
438.5	450.5
450.5	461.5
461.5	471.5
471.5	482.5
482.5	493.5
493.5	504.5
504.5	514.5
514.5	524.5
524.5	536.5
536.5	547.5
547.5	556.5
556.5	567.5
567.5	579.5
579.5	590.5
590.5	602.5
602.5	613.5
613.5	625.5
625.5	637.5
637.5	650.5
650.5	663.5
663.5	676.5
676.5	689.5
689.5	703.5
703.5	718.5
718.5	734.5
734.5	752.5
752.5	770.5
770.5	789.5
789.5	810.5
810.5	831.5
831.5	856.5
856.5	883.5
883.5	915.5
915.5	954.5
954.5	996.5
996.5	1056.5
1056.5	1134.5
1134.5	1650
